salary_delay_days,savings_balance_drop_pct,utility_payment_delay_days,upi_lending_txn_count,discretionary_spend_drop_pct,atm_withdrawals_count,failed_autodebit,default_risk
4,0.27,3,2,0.53,1,0,0
1,0.08,1,3,0.58,0,0,0
3,0.0,1,0,0.53,5,0,0
3,0.21,1,1,0.06,1,0,0
1,0.07,5,1,0.38,3,0,0
2,0.08,2,1,0.27,3,0,0
1,0.04,4,0,0.08,3,0,0
1,0.1,4,2,0.33,3,0,0
2,0.36,5,3,0.21,1,0,0
2,0.4,4,0,0.21,3,0,0
1,0.23,3,4,0.06,1,1,0
0,0.25,3,0,0.59,1,0,0
4,0.02,3,1,0.44,2,1,0
2,0.03,5,4,0.17,5,0,0
1,0.13,4,1,0.55,1,0,0
3,0.27,3,2,0.57,0,0,0
2,0.37,2,1,0.49,1,0,0
6,0.3,4,1,0.4,1,0,0
1,0.2,5,1,0.23,6,1,0
1,0.06,1,2,0.26,2,0,0
2,0.39,5,2,0.27,2,0,0
2,0.18,5,2,0.57,0,0,0
1,0.37,2,1,0.46,4,0,0
3,0.26,2,1,0.18,4,0,0
4,0.37,2,3,0.37,4,0,0
1,0.45,2,1,0.36,3,0,0
3,0.46,4,1,0.49,4,0,0
1,0.27,3,0,0.06,1,0,0
4,0.26,1,1,0.42,3,0,0
4,0.13,5,3,0.2,4,0,0
2,0.47,2,2,0.08,1,1,1
0,0.23,3,3,0.44,1,0,0
0,0.06,0,1,0.2,2,0,0
2,0.22,1,1,0.44,2,0,0
2,0.06,3,0,0.1,2,0,0
2,0.25,2,0,0.59,1,0,0
1,0.28,2,0,0.48,2,1,0
5,0.17,3,1,0.17,1,0,0
4,0.04,2,2,0.44,2,1,0
0,0.47,3,4,0.08,2,0,0
1,0.39,5,1,0.39,2,1,1
2,0.42,3,1,0.04,4,0,0
2,0.18,5,1,0.2,3,1,0
0,0.38,4,3,0.59,1,0,0
2,0.24,4,1,0.07,4,1,0
2,0.1,4,1,0.36,0,0,0
3,0.06,2,1,0.04,1,1,0
1,0.17,2,1,0.4,2,0,0
0,0.07,5,2,0.17,2,0,0
2,0.5,5,3,0.19,4,0,0
2,0.02,1,3,0.2,1,0,0
1,0.22,3,0,0.12,1,0,0
3,0.23,8,2,0.56,1,0,0
2,0.15,3,2,0.54,3,0,0
3,0.29,6,0,0.52,6,0,0
2,0.07,1,1,0.06,3,0,0
0,0.39,3,2,0.14,2,0,0
2,0.17,2,0,0.37,3,0,0
1,0.3,1,1,0.58,2,0,0
1,0.36,2,2,0.36,1,0,0
3,0.44,3,4,0.2,2,0,0
1,0.42,4,3,0.49,0,0,0
4,0.3,2,6,0.08,2,0,0
2,0.19,2,2,0.53,1,0,0
0,0.25,3,3,0.58,1,0,0
4,0.38,5,1,0.58,1,1,1
5,0.44,3,2,0.09,1,0,0
2,0.05,3,1,0.33,0,0,0
0,0.19,2,1,0.35,2,0,0
0,0.39,1,2,0.12,2,0,0
1,0.22,3,3,0.33,3,0,0
1,0.17,4,3,0.39,3,1,0
2,0.21,2,1,0.2,3,0,0
2,0.3,1,3,0.19,3,0,0
5,0.5,5,0,0.04,3,0,0
1,0.25,2,1,0.57,3,0,0
2,0.1,2,3,0.48,3,0,0
4,0.08,5,2,0.46,4,1,0
1,0.02,1,3,0.01,0,0,0
2,0.28,3,0,0.37,0,0,0
1,0.27,6,3,0.11,1,0,0
4,0.1,4,2,0.4,1,0,0
5,0.35,6,2,0.37,3,0,0
2,0.37,0,1,0.51,2,0,0
1,0.13,3,4,0.15,5,0,0
3,0.17,5,0,0.02,3,0,0
2,0.5,3,4,0.55,1,0,0
5,0.19,4,1,0.55,0,0,0
5,0.38,1,0,0.27,2,0,0
5,0.23,7,2,0.05,0,1,0
1,0.4,2,2,0.3,6,1,1
0,0.38,4,2,0.31,5,0,0
1,0.33,4,1,0.49,3,0,0
2,0.43,1,3,0.43,2,0,0
1,0.47,3,1,0.04,4,0,0
0,0.29,3,0,0.42,4,0,0
2,0.12,6,1,0.08,0,0,0
2,0.2,4,3,0.05,1,0,0
1,0.38,3,1,0.24,2,0,0
0,0.33,3,1,0.05,1,0,0
3,0.09,3,1,0.5,1,0,0
3,0.03,3,1,0.28,2,0,0
1,0.34,4,3,0.35,3,0,0
0,0.13,3,2,0.35,1,0,0
0,0.25,1,4,0.59,2,0,0
4,0.37,4,1,0.55,1,0,0
1,0.28,5,0,0.51,4,0,0
3,0.04,5,4,0.23,1,0,0
4,0.09,3,0,0.09,2,0,0
1,0.11,3,0,0.36,1,0,0
1,0.13,5,4,0.26,0,0,0
0,0.28,3,2,0.14,1,0,0
0,0.25,2,1,0.06,0,0,0
0,0.1,3,1,0.26,1,0,0
3,0.03,1,1,0.39,4,0,0
2,0.09,4,3,0.38,0,0,0
2,0.49,5,0,0.46,2,0,0
1,0.23,3,1,0.28,3,0,0
2,0.43,3,1,0.19,2,0,0
2,0.42,1,1,0.32,1,0,0
0,0.26,2,0,0.59,2,1,0
1,0.35,2,3,0.03,3,0,0
3,0.1,6,4,0.32,1,0,0
4,0.34,5,0,0.2,2,0,0
3,0.14,4,3,0.06,4,0,0
0,0.42,6,4,0.26,1,0,0
0,0.04,4,1,0.38,0,0,0
0,0.39,1,1,0.32,7,0,0
1,0.05,6,0,0.02,2,0,0
2,0.44,2,2,0.35,1,0,0
